run_date,age,variable,value,Range
2020-07-13,"[00, 05)",ARIVisitInTimeRange,6491,"['2020-01-01', '2020-07-13']"
2020-07-13,"[05, 18)",ARIVisitInTimeRange,8637,"['2020-01-01', '2020-07-13']"
2020-07-13,"[18, 50)",ARIVisitInTimeRange,14922,"['2020-01-01', '2020-07-13']"
2020-07-13,"[50, 65)",ARIVisitInTimeRange,7002,"['2020-01-01', '2020-07-13']"
2020-07-13,"[65, 75)",ARIVisitInTimeRange,3668,"['2020-01-01', '2020-07-13']"
2020-07-13,"[75, 85)",ARIVisitInTimeRange,1959,"['2020-01-01', '2020-07-13']"
2020-07-13,"[85, 100)",ARIVisitInTimeRange,473,"['2020-01-01', '2020-07-13']"
2020-07-13,"[00, 05)",SARSCoV2TestedInTimeRange,1808,"['2020-01-01', '2020-07-13']"
2020-07-13,"[05, 18)",SARSCoV2TestedInTimeRange,3960,"['2020-01-01', '2020-07-13']"
2020-07-13,"[18, 50)",SARSCoV2TestedInTimeRange,36617,"['2020-01-01', '2020-07-13']"
2020-07-13,"[50, 65)",SARSCoV2TestedInTimeRange,15777,"['2020-01-01', '2020-07-13']"
2020-07-13,"[65, 75)",SARSCoV2TestedInTimeRange,9507,"['2020-01-01', '2020-07-13']"
2020-07-13,"[75, 85)",SARSCoV2TestedInTimeRange,5148,"['2020-01-01', '2020-07-13']"
2020-07-13,"[85, 100)",SARSCoV2TestedInTimeRange,1104,"['2020-01-01', '2020-07-13']"
2020-07-13,"[00, 05)",SARSCoV2DetectedInTimeRange,50,"['2020-01-01', '2020-07-13']"
2020-07-13,"[05, 18)",SARSCoV2DetectedInTimeRange,138,"['2020-01-01', '2020-07-13']"
2020-07-13,"[18, 50)",SARSCoV2DetectedInTimeRange,1356,"['2020-01-01', '2020-07-13']"
2020-07-13,"[50, 65)",SARSCoV2DetectedInTimeRange,526,"['2020-01-01', '2020-07-13']"
2020-07-13,"[65, 75)",SARSCoV2DetectedInTimeRange,224,"['2020-01-01', '2020-07-13']"
2020-07-13,"[75, 85)",SARSCoV2DetectedInTimeRange,135,"['2020-01-01', '2020-07-13']"
2020-07-13,"[85, 100)",SARSCoV2DetectedInTimeRange,51,"['2020-01-01', '2020-07-13']"
2020-07-13,"[00, 05)",firstorLastARItoFirstSARSCoV2TestedInDayRange,234,"[-1, 14]"
2020-07-13,"[05, 18)",firstorLastARItoFirstSARSCoV2TestedInDayRange,485,"[-1, 14]"
2020-07-13,"[18, 50)",firstorLastARItoFirstSARSCoV2TestedInDayRange,4718,"[-1, 14]"
2020-07-13,"[50, 65)",firstorLastARItoFirstSARSCoV2TestedInDayRange,2358,"[-1, 14]"
2020-07-13,"[65, 75)",firstorLastARItoFirstSARSCoV2TestedInDayRange,1205,"[-1, 14]"
2020-07-13,"[75, 85)",firstorLastARItoFirstSARSCoV2TestedInDayRange,632,"[-1, 14]"
2020-07-13,"[85, 100)",firstorLastARItoFirstSARSCoV2TestedInDayRange,123,"[-1, 14]"
2020-07-13,"[00, 05)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,38,"[-1, 14]"
2020-07-13,"[05, 18)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,81,"[-1, 14]"
2020-07-13,"[18, 50)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,601,"[-1, 14]"
2020-07-13,"[50, 65)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,208,"[-1, 14]"
2020-07-13,"[65, 75)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,69,"[-1, 14]"
2020-07-13,"[75, 85)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,25,"[-1, 14]"
2020-07-13,"[85, 100)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,14,"[-1, 14]"
