run_date,ethnicityConcept,variable,value,Range
2020-06-28,Hispanic or Latino,ARIVisitInTimeRange,6246,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,ARIVisitInTimeRange,7481,"['2020-01-01', '2020-06-28']"
2020-06-28,Not Hispanic or Latino,ARIVisitInTimeRange,27432,"['2020-01-01', '2020-06-28']"
2020-06-28,Hispanic or Latino,SARSCoV2TestedInTimeRange,7968,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,SARSCoV2TestedInTimeRange,17504,"['2020-01-01', '2020-06-28']"
2020-06-28,Not Hispanic or Latino,SARSCoV2TestedInTimeRange,37333,"['2020-01-01', '2020-06-28']"
2020-06-28,Hispanic or Latino,SARSCoV2DetectedInTimeRange,506,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,SARSCoV2DetectedInTimeRange,926,"['2020-01-01', '2020-06-28']"
2020-06-28,Not Hispanic or Latino,SARSCoV2DetectedInTimeRange,591,"['2020-01-01', '2020-06-28']"
2020-06-28,Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,1302,"[-1, 14]"
2020-06-28,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,1715,"[-1, 14]"
2020-06-28,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,5426,"[-1, 14]"
2020-06-28,Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,303,"[-1, 14]"
2020-06-28,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,203,"[-1, 14]"
2020-06-28,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,270,"[-1, 14]"
