run_date,genderConcept,variable,value,Range
2020-07-21,FEMALE,ARIVisitInTimeRange,24135,"['2020-01-01', '2020-07-21']"
2020-07-21,MALE,ARIVisitInTimeRange,20090,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,ARIVisitInTimeRange,15,"['2020-01-01', '2020-07-21']"
2020-07-21,FEMALE,SARSCoV2TestedInTimeRange,46859,"['2020-01-01', '2020-07-21']"
2020-07-21,MALE,SARSCoV2TestedInTimeRange,32290,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,SARSCoV2TestedInTimeRange,51,"['2020-01-01', '2020-07-21']"
2020-07-21,FEMALE,SARSCoV2DetectedInTimeRange,1358,"['2020-01-01', '2020-07-21']"
2020-07-21,MALE,SARSCoV2DetectedInTimeRange,1412,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,SARSCoV2DetectedInTimeRange,5,"['2020-01-01', '2020-07-21']"
2020-07-21,FEMALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,5860,"[-1, 14]"
2020-07-21,MALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,4541,"[-1, 14]"
2020-07-21,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,11,"[-1, 14]"
2020-07-21,FEMALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,598,"[-1, 14]"
2020-07-21,MALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,612,"[-1, 14]"
2020-07-21,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0,"[-1, 14]"
