raceConcept,variable,value
American Indian or Alaska Native,ARIVisitIn2020-01-01_2020-06-06,98
Asian,ARIVisitIn2020-01-01_2020-06-06,6928
Black or African American,ARIVisitIn2020-01-01_2020-06-06,1390
Native Hawaiian or Other Pacific Islander,ARIVisitIn2020-01-01_2020-06-06,451
No matching concept,ARIVisitIn2020-01-01_2020-06-06,13089
White,ARIVisitIn2020-01-01_2020-06-06,17045
American Indian or Alaska Native,SARSCoV2TestedIn2020-01-01_2020-06-06,122
Asian,SARSCoV2TestedIn2020-01-01_2020-06-06,6427
Black or African American,SARSCoV2TestedIn2020-01-01_2020-06-06,1380
Native Hawaiian or Other Pacific Islander,SARSCoV2TestedIn2020-01-01_2020-06-06,472
No matching concept,SARSCoV2TestedIn2020-01-01_2020-06-06,19845
White,SARSCoV2TestedIn2020-01-01_2020-06-06,18161
American Indian or Alaska Native,SARSCoV2DetectedIn2020-01-01_2020-06-06,5
Asian,SARSCoV2DetectedIn2020-01-01_2020-06-06,123
Black or African American,SARSCoV2DetectedIn2020-01-01_2020-06-06,29
Native Hawaiian or Other Pacific Islander,SARSCoV2DetectedIn2020-01-01_2020-06-06,12
No matching concept,SARSCoV2DetectedIn2020-01-01_2020-06-06,1190
White,SARSCoV2DetectedIn2020-01-01_2020-06-06,376
American Indian or Alaska Native,"firstorLastARItoFirstSARSCoV2TestedInDayRange[-1, 14]",17
Asian,"firstorLastARItoFirstSARSCoV2TestedInDayRange[-1, 14]",991
Black or African American,"firstorLastARItoFirstSARSCoV2TestedInDayRange[-1, 14]",211
Native Hawaiian or Other Pacific Islander,"firstorLastARItoFirstSARSCoV2TestedInDayRange[-1, 14]",67
No matching concept,"firstorLastARItoFirstSARSCoV2TestedInDayRange[-1, 14]",2559
White,"firstorLastARItoFirstSARSCoV2TestedInDayRange[-1, 14]",3119
American Indian or Alaska Native,"firstorLastARItoFirstSARSCoV2DetectedInDayRange[-1, 14]",0
Asian,"firstorLastARItoFirstSARSCoV2DetectedInDayRange[-1, 14]",62
Black or African American,"firstorLastARItoFirstSARSCoV2DetectedInDayRange[-1, 14]",15
Native Hawaiian or Other Pacific Islander,"firstorLastARItoFirstSARSCoV2DetectedInDayRange[-1, 14]",5
No matching concept,"firstorLastARItoFirstSARSCoV2DetectedInDayRange[-1, 14]",352
White,"firstorLastARItoFirstSARSCoV2DetectedInDayRange[-1, 14]",166
