genderConcept,variable,value
FEMALE,ARIVisitInTimeRange,21515
MALE,ARIVisitInTimeRange,18103
No matching concept,ARIVisitInTimeRange,12
FEMALE,SARSCoV2TestedInTimeRange,31519
MALE,SARSCoV2TestedInTimeRange,19903
No matching concept,SARSCoV2TestedInTimeRange,37
FEMALE,SARSCoV2DetectedInTimeRange,851
MALE,SARSCoV2DetectedInTimeRange,943
No matching concept,SARSCoV2DetectedInTimeRange,0
FEMALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,4168
MALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,3244
No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,5
FEMALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,302
MALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,338
No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0
