raceConcept,variable,value
American Indian or Alaska Native,ARIVisitInTimeRange,99
Asian,ARIVisitInTimeRange,7008
Black or African American,ARIVisitInTimeRange,1413
Native Hawaiian or Other Pacific Islander,ARIVisitInTimeRange,454
No matching concept,ARIVisitInTimeRange,13308
White,ARIVisitInTimeRange,17348
American Indian or Alaska Native,SARSCoV2TestedInTimeRange,134
Asian,SARSCoV2TestedInTimeRange,7109
Black or African American,SARSCoV2TestedInTimeRange,1530
Native Hawaiian or Other Pacific Islander,SARSCoV2TestedInTimeRange,524
No matching concept,SARSCoV2TestedInTimeRange,21686
White,SARSCoV2TestedInTimeRange,20476
American Indian or Alaska Native,SARSCoV2DetectedInTimeRange,5
Asian,SARSCoV2DetectedInTimeRange,129
Black or African American,SARSCoV2DetectedInTimeRange,32
Native Hawaiian or Other Pacific Islander,SARSCoV2DetectedInTimeRange,12
No matching concept,SARSCoV2DetectedInTimeRange,1222
White,SARSCoV2DetectedInTimeRange,397
American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2TestedInDayRange,17
Asian,firstorLastARItoFirstSARSCoV2TestedInDayRange,1041
Black or African American,firstorLastARItoFirstSARSCoV2TestedInDayRange,223
Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2TestedInDayRange,71
No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,2742
White,firstorLastARItoFirstSARSCoV2TestedInDayRange,3326
American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0
Asian,firstorLastARItoFirstSARSCoV2DetectedInDayRange,66
Black or African American,firstorLastARItoFirstSARSCoV2DetectedInDayRange,17
Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2DetectedInDayRange,5
No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,371
White,firstorLastARItoFirstSARSCoV2DetectedInDayRange,181
