run_date,genderConcept,variable,value,Range
2020-07-13,FEMALE,ARIVisitInTimeRange,23586,"['2020-01-01', '2020-07-13']"
2020-07-13,MALE,ARIVisitInTimeRange,19652,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,ARIVisitInTimeRange,15,"['2020-01-01', '2020-07-13']"
2020-07-13,FEMALE,SARSCoV2TestedInTimeRange,44062,"['2020-01-01', '2020-07-13']"
2020-07-13,MALE,SARSCoV2TestedInTimeRange,29909,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,SARSCoV2TestedInTimeRange,46,"['2020-01-01', '2020-07-13']"
2020-07-13,FEMALE,SARSCoV2DetectedInTimeRange,1218,"['2020-01-01', '2020-07-13']"
2020-07-13,MALE,SARSCoV2DetectedInTimeRange,1268,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,SARSCoV2DetectedInTimeRange,0,"['2020-01-01', '2020-07-13']"
2020-07-13,FEMALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,5497,"[-1, 14]"
2020-07-13,MALE,firstorLastARItoFirstSARSCoV2TestedInDayRange,4267,"[-1, 14]"
2020-07-13,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,10,"[-1, 14]"
2020-07-13,FEMALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,515,"[-1, 14]"
2020-07-13,MALE,firstorLastARItoFirstSARSCoV2DetectedInDayRange,527,"[-1, 14]"
2020-07-13,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0,"[-1, 14]"
