run_date,ethnicityConcept,variable,value,Range
2020-07-21,Hispanic or Latino,ARIVisitInTimeRange,6833,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,ARIVisitInTimeRange,8080,"['2020-01-01', '2020-07-21']"
2020-07-21,Not Hispanic or Latino,ARIVisitInTimeRange,29327,"['2020-01-01', '2020-07-21']"
2020-07-21,Hispanic or Latino,SARSCoV2TestedInTimeRange,10461,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,SARSCoV2TestedInTimeRange,21124,"['2020-01-01', '2020-07-21']"
2020-07-21,Not Hispanic or Latino,SARSCoV2TestedInTimeRange,47615,"['2020-01-01', '2020-07-21']"
2020-07-21,Hispanic or Latino,SARSCoV2DetectedInTimeRange,815,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,SARSCoV2DetectedInTimeRange,1144,"['2020-01-01', '2020-07-21']"
2020-07-21,Not Hispanic or Latino,SARSCoV2DetectedInTimeRange,812,"['2020-01-01', '2020-07-21']"
2020-07-21,Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,1706,"[-1, 14]"
2020-07-21,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,2155,"[-1, 14]"
2020-07-21,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,6551,"[-1, 14]"
2020-07-21,Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,522,"[-1, 14]"
2020-07-21,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,289,"[-1, 14]"
2020-07-21,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,399,"[-1, 14]"
