run_date,raceConcept,variable,value,Range
2020-07-21,American Indian or Alaska Native,ARIVisitInTimeRange,112,"['2020-01-01', '2020-07-21']"
2020-07-21,Asian,ARIVisitInTimeRange,7589,"['2020-01-01', '2020-07-21']"
2020-07-21,Black or African American,ARIVisitInTimeRange,1558,"['2020-01-01', '2020-07-21']"
2020-07-21,Native Hawaiian or Other Pacific Islander,ARIVisitInTimeRange,492,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,ARIVisitInTimeRange,14991,"['2020-01-01', '2020-07-21']"
2020-07-21,White,ARIVisitInTimeRange,19498,"['2020-01-01', '2020-07-21']"
2020-07-21,American Indian or Alaska Native,SARSCoV2TestedInTimeRange,221,"['2020-01-01', '2020-07-21']"
2020-07-21,Asian,SARSCoV2TestedInTimeRange,10875,"['2020-01-01', '2020-07-21']"
2020-07-21,Black or African American,SARSCoV2TestedInTimeRange,2402,"['2020-01-01', '2020-07-21']"
2020-07-21,Native Hawaiian or Other Pacific Islander,SARSCoV2TestedInTimeRange,767,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,SARSCoV2TestedInTimeRange,31871,"['2020-01-01', '2020-07-21']"
2020-07-21,White,SARSCoV2TestedInTimeRange,33064,"['2020-01-01', '2020-07-21']"
2020-07-21,American Indian or Alaska Native,SARSCoV2DetectedInTimeRange,5,"['2020-01-01', '2020-07-21']"
2020-07-21,Asian,SARSCoV2DetectedInTimeRange,173,"['2020-01-01', '2020-07-21']"
2020-07-21,Black or African American,SARSCoV2DetectedInTimeRange,57,"['2020-01-01', '2020-07-21']"
2020-07-21,Native Hawaiian or Other Pacific Islander,SARSCoV2DetectedInTimeRange,24,"['2020-01-01', '2020-07-21']"
2020-07-21,No matching concept,SARSCoV2DetectedInTimeRange,1855,"['2020-01-01', '2020-07-21']"
2020-07-21,White,SARSCoV2DetectedInTimeRange,656,"['2020-01-01', '2020-07-21']"
2020-07-21,American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2TestedInDayRange,25,"[-1, 14]"
2020-07-21,Asian,firstorLastARItoFirstSARSCoV2TestedInDayRange,1368,"[-1, 14]"
2020-07-21,Black or African American,firstorLastARItoFirstSARSCoV2TestedInDayRange,295,"[-1, 14]"
2020-07-21,Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2TestedInDayRange,92,"[-1, 14]"
2020-07-21,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,3960,"[-1, 14]"
2020-07-21,White,firstorLastARItoFirstSARSCoV2TestedInDayRange,4672,"[-1, 14]"
2020-07-21,American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2DetectedInDayRange,5,"[-1, 14]"
2020-07-21,Asian,firstorLastARItoFirstSARSCoV2DetectedInDayRange,89,"[-1, 14]"
2020-07-21,Black or African American,firstorLastARItoFirstSARSCoV2DetectedInDayRange,35,"[-1, 14]"
2020-07-21,Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2DetectedInDayRange,12,"[-1, 14]"
2020-07-21,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,730,"[-1, 14]"
2020-07-21,White,firstorLastARItoFirstSARSCoV2DetectedInDayRange,343,"[-1, 14]"
